,name,protein,protein_akg_pct,portion_for_protein
411,Kacang Tunggak rempeyek,11.2,0.18666666666666665,5.357142857142858
412,Kacang atom,27.8,0.4633333333333333,2.158273381294964
413,Kacang babi kering,30.4,0.5066666666666666,1.973684210526316
414,Kacang beracun segar,4.4,0.07333333333333333,13.636363636363635
415,Kacang bogor kering,16.0,0.26666666666666666,3.75
416,Kacang bogor segar,7.7,0.12833333333333333,7.792207792207792
417,Kacang gude biji kering,20.7,0.345,2.898550724637681
418,Kacang gude rebus,9.0,0.15,6.666666666666667
419,Kacang hijau kering,22.9,0.38166666666666665,2.620087336244542
420,Kacang hijau var. bakti kering,17.1,0.28500000000000003,3.508771929824561
421,Kacang hijau var. siwalik kering,20.8,0.3466666666666667,2.8846153846153846
422,Kacang kedelai goreng,32.2,0.5366666666666667,1.8633540372670805
423,Kacang kedelai kering,40.4,0.6733333333333333,1.4851485148514851
424,Kacang kuning kering,17.0,0.2833333333333333,3.5294117647058822
425,Kacang mekah polong segar,1.1,0.018333333333333333,54.54545454545454
426,Kacang mentega kering,16.7,0.2783333333333333,3.5928143712574854
427,Kacang merah /banda kering,13.9,0.23166666666666666,4.316546762589928
428,Kacang merah kering,22.1,0.36833333333333335,2.7149321266968323
429,Kacang merah tua kering,16.7,0.2783333333333333,3.5928143712574854
430,Kacang negara,18.4,0.30666666666666664,3.2608695652173916
431,Kacang tanah goreng,25.5,0.425,2.3529411764705883
432,Kacang tanah kering,27.9,0.46499999999999997,2.1505376344086025
433,Kacang tolo / tunggak kering,24.4,0.4066666666666666,2.459016393442623
434,Kacang tolo rebus,10.7,0.17833333333333332,5.607476635514019
435,Kacang tunis kering,12.2,0.2033333333333333,4.918032786885246
436,Kacang uci kering,23.4,0.38999999999999996,2.5641025641025643
437,Kadada katembe,4.5,0.075,13.333333333333334
438,Kaholeo masakan,28.7,0.47833333333333333,2.0905923344947737
439,Kakap,20.0,0.3333333333333333,3.0
440,Kalio jeroan masakan,16.5,0.275,3.6363636363636362
441,Kalio kikil (tunjang) masakan,13.8,0.23,4.3478260869565215
442,Kalio otak masakan,8.1,0.13499999999999998,7.407407407407407
443,Kalio telur masakan,10.6,0.17666666666666667,5.660377358490567
444,Kambing daging segar,16.6,0.27666666666666667,3.614457831325301
445,Kambose,3.0,0.05,20.0
